Model_variant,Accuracy
Baseline_SVC,85.14898819771939
Baseline_RF,93.14000548943285
MinMax_Scaled_SVC,90.4575122983483
MinMax_Scaled_rf,93.06792260972325
Standard_Scaled_SVC,91.399057355649
Standard_Scaled_rf,93.11113859345372
RFE_Features_MinMax_Scaled_SVC,91.14333415780361
RFE_Features_MinMax_Scaled_RF,91.72005111715721
RFE_Features_Standard_Scaled_SVC,91.14333415780361
RFE_Features_Standard_Scaled_RF,91.69861488993321
FeatureImportance_Features_Standard_Scaled_SVC,91.05717701376864
FeatureImportance_Features_Standard_Scaled_RF,91.99810371836095
FeatureImportance_Features_MinMax_Scaled_SVC,90.05187292164784
FeatureImportance_Features_MinMax_Scaled_RF,92.21184763789266
PSO_Features_MinMax_Scaled_RF,92.9608101794597
PSO_Features_MinMax_Scaled_SVC,91.63533679610852
PSO_Features_Std_Scaled_RF,93.17489762827385
PSO_Features_Std_Scaled_SVC,91.82778190012917
